%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
84,11.140,5.195,1.827,0.240,2.254,4.416,5.974,1.553,2.101,3.099,2.384,0.198,,
84.5,11.140,5.372,1.932,0.240,2.254,4.566,6.178,1.643,2.222,3.179,2.465,0.207,,
85,11.140,5.375,1.813,0.240,2.254,4.569,6.182,1.541,2.085,3.181,2.374,0.165,,
85.5,11.150,5.165,1.789,0.240,2.254,4.391,5.940,1.521,2.058,3.086,2.356,0.187,,
86,11.150,5.321,1.934,0.240,2.254,4.523,6.119,1.644,2.224,3.156,2.466,0.216,,
86.5,11.150,5.227,1.793,0.240,2.254,4.443,6.010,1.524,2.062,3.114,2.359,0.182,,
87,11.160,5.323,1.837,0.240,2.254,4.525,6.121,1.561,2.112,3.157,2.392,0.180,,
87.5,11.160,5.178,1.748,0.240,2.254,4.401,5.955,1.486,2.010,3.092,2.325,0.177,,
88,11.170,5.208,1.882,0.240,2.254,4.427,5.990,1.600,2.164,3.106,2.426,0.218,,
88.5,11.170,5.268,1.860,0.240,2.254,4.478,6.059,1.581,2.139,3.133,2.410,0.195,,
89,11.180,5.301,1.851,0.240,2.254,4.506,6.097,1.573,2.129,3.148,2.403,0.191,,
89.5,11.180,5.362,1.854,0.240,2.254,4.557,6.166,1.576,2.132,3.175,2.405,0.180,,
90,11.190,5.346,1.871,0.240,2.254,4.544,6.148,1.590,2.152,3.168,2.418,0.188,,
90.5,11.190,5.515,1.923,0.240,2.254,4.688,6.342,1.634,2.211,3.244,2.457,0.183,,
91,11.200,5.387,1.750,0.240,2.254,4.579,6.195,1.487,2.012,3.186,2.326,0.145,,
91.5,11.200,5.239,1.730,0.240,2.254,4.453,6.025,1.470,1.989,3.119,2.311,0.159,,
92,11.210,4.874,1.611,0.240,2.254,4.143,5.605,1.369,1.852,2.953,2.220,0.177,,
92.5,11.210,4.166,1.516,0.240,2.254,3.541,4.791,1.289,1.743,2.621,2.148,0.265,,
93,11.220,3.112,1.940,0.240,2.254,2.645,3.579,1.649,2.231,2.100,2.470,0.566,,
93.5,11.220,3.717,3.554,0.240,2.254,3.160,4.275,3.021,4.088,2.403,3.697,0.733,,
94,11.210,3.066,3.516,0.146,2.409,2.606,3.526,2.988,4.043,2.418,3.608,0.713,,
94.5,11.233,3.297,3.009,0.146,2.409,2.803,3.792,2.558,3.461,2.573,3.176,0.604,,
95,11.300,3.464,3.268,0.146,2.409,2.945,3.984,2.777,3.758,2.683,3.397,0.616,,
95.5,11.380,3.548,2.403,0.146,2.409,3.015,4.080,2.043,2.763,2.738,2.659,0.420,,
