% DEPTH	TEMP
8.22	-49.4
8.22	-49.45
8.23	-49.5
8.23	-49.55
8.23	-49.6
8.23	-49.65
8.23	-49.7
8.22	-49.75
8.22	-49.8
8.22	-49.85
8.24	-49.9
8.23	-49.95
8.23	-50
8.23	-50.05
8.23	-50.1
8.23	-50.15
8.24	-50.2
8.24	-50.25
8.23	-50.3
8.23	-50.35
8.23	-50.4
8.23	-50.45
8.24	-50.5
8.25	-50.55
8.25	-50.6
8.24	-50.65
8.26	-50.7
8.25	-50.75
8.24	-50.8
8.25	-50.85
8.26	-50.9
8.26	-50.95
8.26	-51
8.27	-51.05
8.26	-51.1
8.25	-51.15
8.26	-51.2
8.26	-51.25
8.26	-51.3
8.26	-51.35
8.26	-51.4
8.26	-51.45
8.26	-51.5
8.27	-51.55
8.27	-51.6
8.27	-51.65
8.26	-51.7
8.26	-51.75
8.26	-51.8
8.26	-51.85
8.25	-51.9
8.26	-51.95
8.27	-52
8.26	-52.05
8.28	-52.1
8.29	-52.15
8.28	-52.2
8.27	-52.25
8.27	-52.3
8.27	-52.35
8.27	-52.4
8.27	-52.45
8.28	-52.5
8.28	-52.55
8.27	-52.6
8.27	-52.65
8.28	-52.7
8.29	-52.75
8.29	-52.8
8.29	-52.85
8.3	-52.9
8.28	-52.95
8.28	-53
8.28	-53.05
8.29	-53.1
8.29	-53.15
8.29	-53.2
8.29	-53.25
8.29	-53.3
8.28	-53.35
8.29	-53.4
8.28	-53.45
8.29	-53.5
8.3	-53.55
8.3	-53.6
8.29	-53.65
8.29	-53.7
8.29	-53.75
8.29	-53.8
8.29	-53.85
8.28	-53.9
8.28	-53.95
8.29	-54
8.3	-54.05
8.29	-54.1
8.28	-54.15
8.29	-54.2
8.28	-54.25
8.29	-54.3
8.29	-54.35
8.29	-54.4
8.28	-54.45
8.29	-54.5
8.29	-54.55
8.3	-54.6
8.3	-54.65
8.3	-54.7
8.3	-54.75
8.29	-54.8
8.29	-54.85
8.3	-54.9
8.29	-54.95
8.28	-55
8.29	-55.05
8.29	-55.1
8.3	-55.15
8.3	-55.2
8.3	-55.25
8.3	-55.3
8.3	-55.35
8.3	-55.4
8.3	-55.45
8.3	-55.5
8.29	-55.55
8.29	-55.6
8.28	-55.65
8.29	-55.7
8.31	-55.75
8.31	-55.8
8.29	-55.85
8.29	-55.9
8.29	-55.95
8.3	-56
8.31	-56.05
8.3	-56.1
8.3	-56.15
8.3	-56.2
8.3	-56.25
8.3	-56.3
8.29	-56.35
8.29	-56.4
8.3	-56.45
8.3	-56.5
8.29	-56.55
8.28	-56.6
8.3	-56.65
8.31	-56.7
8.3	-56.75
8.3	-56.8
8.29	-56.85
8.3	-56.9
8.3	-56.95
8.29	-57
8.31	-57.05
8.31	-57.1
8.29	-57.15
8.3	-57.2
8.31	-57.25
8.3	-57.3
8.31	-57.35
8.31	-57.4
8.3	-57.45
8.3	-57.5
8.3	-57.55
8.3	-57.6
8.3	-57.65
8.29	-57.7
8.31	-57.75
8.32	-57.8
8.3	-57.85
8.29	-57.9
8.3	-57.95
8.29	-58
8.29	-58.05
8.3	-58.1
8.3	-58.15
8.31	-58.2
8.3	-58.25
8.3	-58.3
8.31	-58.35
8.31	-58.4
8.3	-58.45
8.31	-58.5
8.3	-58.55
8.3	-58.6
8.31	-58.65
8.31	-58.7
8.3	-58.75
8.31	-58.8
8.31	-58.85
8.31	-58.9
8.3	-58.95
8.3	-59
8.31	-59.05
8.3	-59.1
8.3	-59.15
8.31	-59.2
8.31	-59.25
8.31	-59.3
8.31	-59.35
8.31	-59.4
8.31	-59.45
8.3	-59.5
8.29	-59.55
8.3	-59.6
8.31	-59.65
8.3	-59.7
8.3	-59.75
8.3	-59.8
8.3	-59.85
8.3	-59.9
8.31	-59.95
8.3	-60
8.3	-60.05
8.28	-60.1
8.28	-60.15
8.3	-60.2
8.31	-60.25
8.3	-60.3
8.29	-60.35
8.28	-60.4
8.29	-60.45
8.3	-60.5
8.31	-60.55
8.31	-60.6
8.31	-60.65
8.3	-60.7
8.3	-60.75
8.31	-60.8
8.31	-60.85
8.28	-60.9
8.28	-60.95
8.31	-61
8.31	-61.05
8.31	-61.1
8.32	-61.15
8.31	-61.2
8.29	-61.25
8.29	-61.3
8.29	-61.35
8.29	-61.4
8.29	-61.45
8.29	-61.5
8.28	-61.55
8.29	-61.6
8.3	-61.65
8.29	-61.7
8.3	-61.75
8.3	-61.8
8.3	-61.85
8.29	-61.9
