%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
1213.5,46.61,3.081,2.227,0.05,2.568,2.927,3.235,2.115,2.338,2.84,2.323,0.432
1214,46.61,3.214,2.229,0.05,2.568,3.053,3.374,2.118,2.34,2.956,2.325,0.399
1214.5,46.66,3.144,2.228,0.05,2.568,2.986,3.301,2.116,2.339,2.895,2.324,0.417
1215,46.66,2.936,2.224,0.05,2.568,2.789,3.083,2.113,2.335,2.713,2.321,0.468
1215.5,46.68,2.978,2.225,0.05,2.568,2.829,3.126,2.114,2.336,2.749,2.321,0.458
1216,46.68,2.695,2.219,0.05,2.568,2.561,2.83,2.108,2.33,2.501,2.316,0.528
1216.5,46.73,2.577,2.217,0.05,2.568,2.449,2.706,2.106,2.328,2.397,2.313,0.557
1217,46.73,2.759,2.221,0.05,2.568,2.621,2.897,2.11,2.332,2.558,2.317,0.512
1217.5,46.75,3.036,2.226,0.05,2.568,2.884,3.188,2.115,2.337,2.8,2.322,0.443
1218,46.75,3.29,2.23,0.05,2.568,3.126,3.455,2.119,2.342,3.023,2.326,0.38
1218.5,46.79,3.525,2.233,0.05,2.568,3.349,3.701,2.122,2.345,3.227,2.329,0.323
1219,46.79,3.694,2.236,0.05,2.568,3.509,3.878,2.124,2.347,3.374,2.331,0.281
1219.5,46.82,3.863,2.237,0.05,2.568,3.67,4.056,2.126,2.349,3.521,2.333,0.24
1220,46.82,3.862,2.237,0.05,2.568,3.669,4.055,2.126,2.349,3.52,2.333,0.24
1220.5,46.86,3.676,2.235,0.05,2.568,3.492,3.86,2.124,2.347,3.358,2.331,0.286
1221,46.86,3.615,2.235,0.05,2.568,3.434,3.795,2.123,2.346,3.305,2.33,0.301
1221.5,46.89,3.562,2.234,0.05,2.568,3.384,3.741,2.122,2.346,3.26,2.33,0.313
1222,46.89,3.318,2.231,0.05,2.568,3.152,3.484,2.119,2.342,3.047,2.327,0.374
1222.5,46.93,3.074,2.227,0.05,2.568,2.92,3.228,2.115,2.338,2.834,2.323,0.434
1223,46.93,2.991,2.225,0.05,2.568,2.841,3.14,2.114,2.336,2.761,2.321,0.454
1223.5,46.96,2.922,2.224,0.05,2.568,2.776,3.068,2.113,2.335,2.701,2.32,0.471
1224,46.96,2.816,2.222,0.05,2.568,2.675,2.957,2.111,2.333,2.608,2.318,0.498
1224.5,46.99,2.756,2.221,0.05,2.568,2.618,2.894,2.11,2.332,2.555,2.317,0.513
1225,46.99,2.708,2.22,0.05,2.568,2.572,2.843,2.109,2.331,2.512,2.316,0.525
1225.5,47.03,2.509,2.215,0.05,2.568,2.383,2.634,2.104,2.326,2.336,2.312,0.574
1226,47.03,2.651,2.218,0.05,2.568,2.519,2.784,2.107,2.329,2.462,2.315,0.539
1226.5,47.07,2.883,2.223,0.05,2.568,2.739,3.027,2.112,2.334,2.666,2.32,0.481
1227,47.07,3.075,2.227,0.05,2.568,2.921,3.229,2.115,2.338,2.835,2.323,0.434
1227.5,47.11,3.032,2.226,0.05,2.568,2.88,3.183,2.115,2.337,2.797,2.322,0.444
1228,47.11,3.009,2.226,0.05,2.568,2.858,3.159,2.114,2.337,2.777,2.322,0.45
1228.5,47.14,3.1,2.227,0.05,2.568,2.945,3.255,2.116,2.338,2.857,2.323,0.427
1229,47.14,3.311,2.23,0.05,2.568,3.146,3.477,2.119,2.342,3.041,2.326,0.375
1229.5,47.18,3.435,2.232,0.05,2.568,3.263,3.607,2.121,2.344,3.149,2.328,0.345
1230,47.18,3.373,2.231,0.05,2.568,3.204,3.541,2.12,2.343,3.095,2.327,0.36
1230.5,47.21,3.116,2.227,0.05,2.568,2.961,3.272,2.116,2.339,2.871,2.324,0.423
1231,47.21,2.861,2.223,0.05,2.568,2.718,3.004,2.112,2.334,2.647,2.319,0.487
1231.5,47.24,2.717,2.22,0.05,2.568,2.581,2.853,2.109,2.331,2.52,2.316,0.522
1232,47.24,2.948,2.224,0.05,2.568,2.801,3.095,2.113,2.336,2.723,2.321,0.465
1232.5,47.28,2.613,2.218,0.05,2.568,2.482,2.744,2.107,2.328,2.429,2.314,0.548
1233,47.28,2.784,2.221,0.05,2.568,2.645,2.923,2.11,2.332,2.579,2.318,0.506
1233.5,47.31,3.111,2.227,0.05,2.568,2.956,3.267,2.116,2.339,2.866,2.323,0.425
1234,47.31,3.453,2.232,0.05,2.568,3.28,3.626,2.121,2.344,3.165,2.328,0.34
1234.5,47.35,3.442,2.232,0.05,2.568,3.27,3.614,2.121,2.344,3.155,2.328,0.343
1235,47.35,3.346,2.231,0.05,2.568,3.179,3.513,2.119,2.343,3.072,2.327,0.367
1235.5,47.39,3.173,2.228,0.05,2.568,3.015,3.332,2.117,2.34,2.921,2.324,0.409
1236,47.39,2.845,2.222,0.05,2.568,2.703,2.987,2.111,2.334,2.633,2.319,0.491
1236.5,47.43,2.737,2.22,0.05,2.568,2.6,2.874,2.109,2.331,2.538,2.317,0.517
1237,47.43,2.868,2.223,0.05,2.568,2.724,3.011,2.112,2.334,2.653,2.319,0.485
1237.5,47.47,2.922,2.224,0.05,2.568,2.776,3.068,2.113,2.335,2.701,2.32,0.471
1238,47.47,2.853,2.223,0.05,2.568,2.71,2.995,2.112,2.334,2.64,2.319,0.489
1238.5,47.5,2.823,2.222,0.05,2.568,2.682,2.964,2.111,2.333,2.614,2.318,0.496
1239,47.5,2.767,2.221,0.05,2.568,2.628,2.905,2.11,2.332,2.564,2.317,0.51
1239.5,47.54,2.471,2.214,0.05,2.568,2.348,2.595,2.103,2.325,2.303,2.311,0.584
1240,47.54,2.589,2.217,0.05,2.568,2.459,2.718,2.106,2.328,2.407,2.314,0.554
1240.5,47.58,2.565,2.216,0.05,2.568,2.436,2.693,2.106,2.327,2.386,2.313,0.56
1241,47.58,2.894,2.223,0.05,2.568,2.75,3.039,2.112,2.335,2.676,2.32,0.478
1241.5,47.61,2.922,2.224,0.05,2.568,2.776,3.068,2.113,2.335,2.701,2.32,0.471
1242,47.61,3.223,2.229,0.05,2.568,3.062,3.384,2.118,2.341,2.964,2.325,0.397
1242.5,47.65,3.384,2.232,0.05,2.568,3.215,3.553,2.12,2.343,3.105,2.327,0.357
1243,47.65,3.351,2.231,0.05,2.568,3.184,3.519,2.119,2.343,3.076,2.327,0.365
1243.5,47.68,3.232,2.229,0.05,2.568,3.07,3.394,2.118,2.341,2.972,2.325,0.395
1244,47.68,3.076,2.227,0.05,2.568,2.922,3.23,2.115,2.338,2.836,2.323,0.433
1244.5,47.71,2.917,2.224,0.05,2.568,2.771,3.063,2.113,2.335,2.696,2.32,0.473
1245,47.71,2.752,2.221,0.05,2.568,2.615,2.89,2.11,2.332,2.551,2.317,0.514
1245.5,47.75,2.704,2.22,0.05,2.568,2.569,2.839,2.109,2.331,2.509,2.316,0.526
1246,47.75,2.827,2.222,0.05,2.568,2.686,2.968,2.111,2.333,2.617,2.319,0.495
1246.5,47.78,3.138,2.228,0.05,2.568,2.981,3.295,2.116,2.339,2.89,2.324,0.418
1247,47.78,3.3,2.23,0.05,2.568,3.135,3.465,2.119,2.342,3.032,2.326,0.378
1247.5,47.82,3.393,2.232,0.05,2.568,3.224,3.563,2.12,2.343,3.113,2.328,0.355
1248,47.82,3.27,2.23,0.05,2.568,3.106,3.433,2.118,2.341,3.005,2.326,0.385
1248.5,47.85,3.146,2.228,0.05,2.568,2.989,3.304,2.117,2.339,2.897,2.324,0.416
1249,47.85,3.061,2.226,0.05,2.568,2.908,3.214,2.115,2.338,2.823,2.323,0.437
1249.5,47.88,3.017,2.226,0.05,2.568,2.866,3.168,2.114,2.337,2.784,2.322,0.448
1250,47.88,2.972,2.225,0.05,2.568,2.823,3.121,2.114,2.336,2.744,2.321,0.459
1250.5,47.92,3.094,2.227,0.05,2.568,2.94,3.249,2.116,2.338,2.852,2.323,0.429
1251,47.92,3.347,2.231,0.05,2.568,3.18,3.515,2.119,2.343,3.073,2.327,0.366
1251.5,47.95,3.421,2.232,0.05,2.568,3.25,3.593,2.12,2.344,3.137,2.328,0.348
1252,47.95,3.449,2.232,0.05,2.568,3.277,3.622,2.121,2.344,3.161,2.328,0.341
1252.5,47.98,3.441,2.232,0.05,2.568,3.269,3.613,2.121,2.344,3.154,2.328,0.343
1253,47.98,3.228,2.229,0.05,2.568,3.067,3.39,2.118,2.341,2.969,2.325,0.396
1253.5,48.02,3.26,2.23,0.05,2.568,3.097,3.423,2.118,2.341,2.997,2.326,0.388
1254,48.02,3.275,2.23,0.05,2.568,3.111,3.438,2.118,2.341,3.009,2.326,0.384
1254.5,48.05,3.26,2.23,0.05,2.568,3.097,3.423,2.118,2.341,2.996,2.326,0.388
1255,48.05,3.448,2.232,0.05,2.568,3.276,3.62,2.121,2.344,3.16,2.328,0.341
1255.5,48.09,3.293,2.23,0.05,2.568,3.128,3.458,2.119,2.342,3.025,2.326,0.38
1256,48.09,3.138,2.228,0.05,2.568,2.982,3.295,2.116,2.339,2.89,2.324,0.418
1256.5,48.12,3.263,2.23,0.05,2.568,3.1,3.427,2.118,2.341,2.999,2.326,0.387
1257,48.12,3.279,2.23,0.05,2.568,3.115,3.443,2.118,2.341,3.013,2.326,0.383
1257.5,48.14,3.296,2.23,0.05,2.568,3.131,3.461,2.119,2.342,3.028,2.326,0.379
1258,48.14,3.274,2.23,0.05,2.568,3.111,3.438,2.118,2.341,3.009,2.326,0.384
1258.5,48.19,3.42,2.232,0.05,2.568,3.249,3.591,2.12,2.344,3.136,2.328,0.348
1259,48.19,3.402,2.232,0.05,2.568,3.232,3.572,2.12,2.343,3.12,2.328,0.353
1259.5,48.23,3.295,2.23,0.05,2.568,3.13,3.459,2.119,2.342,3.027,2.326,0.379
1260,48.23,3.305,2.23,0.05,2.568,3.14,3.471,2.119,2.342,3.036,2.326,0.377
1260.5,48.26,3.215,2.229,0.05,2.568,3.054,3.376,2.118,2.34,2.957,2.325,0.399
1261,48.26,3.009,2.226,0.05,2.568,2.858,3.159,2.114,2.337,2.777,2.322,0.45
1261.5,48.29,3.156,2.228,0.05,2.568,2.998,3.314,2.117,2.339,2.905,2.324,0.414
1262,48.29,3.084,2.227,0.05,2.568,2.93,3.239,2.116,2.338,2.843,2.323,0.431
1262.5,48.33,3.02,2.226,0.05,2.568,2.869,3.171,2.114,2.337,2.786,2.322,0.447
1263,48.33,2.959,2.225,0.05,2.568,2.811,3.107,2.113,2.336,2.733,2.321,0.462
1263.5,48.36,2.89,2.223,0.05,2.568,2.745,3.034,2.112,2.335,2.672,2.32,0.479
1264,48.36,2.896,2.223,0.05,2.568,2.751,3.04,2.112,2.335,2.677,2.32,0.478
1264.5,48.4,3.093,2.227,0.05,2.568,2.938,3.248,2.116,2.338,2.85,2.323,0.429
1265,48.4,3.056,2.226,0.05,2.568,2.904,3.209,2.115,2.338,2.818,2.323,0.438
1265.5,48.43,3.118,2.227,0.05,2.568,2.962,3.273,2.116,2.339,2.872,2.324,0.423
1266,48.43,3.131,2.228,0.05,2.568,2.975,3.288,2.116,2.339,2.884,2.324,0.42
1266.5,48.46,3.034,2.226,0.05,2.568,2.882,3.186,2.115,2.337,2.799,2.322,0.444
1267,48.46,2.936,2.224,0.05,2.568,2.79,3.083,2.113,2.335,2.713,2.321,0.468
1267.5,48.5,2.845,2.222,0.05,2.568,2.703,2.988,2.111,2.334,2.633,2.319,0.491
1268,48.5,2.756,2.221,0.05,2.568,2.618,2.893,2.11,2.332,2.554,2.317,0.513
1268.5,48.54,2.677,2.219,0.05,2.568,2.543,2.811,2.108,2.33,2.485,2.316,0.532
1269,48.54,2.837,2.222,0.05,2.568,2.695,2.979,2.111,2.333,2.626,2.319,0.493
1269.5,48.57,2.826,2.222,0.05,2.568,2.685,2.967,2.111,2.333,2.616,2.319,0.495
1270,48.57,2.786,2.221,0.05,2.568,2.647,2.925,2.11,2.332,2.581,2.318,0.505
1270.5,48.61,3.053,2.226,0.05,2.568,2.9,3.206,2.115,2.338,2.815,2.323,0.439
1271,48.61,3.194,2.229,0.05,2.568,3.034,3.354,2.117,2.34,2.939,2.325,0.404
1271.5,48.64,3.193,2.229,0.05,2.568,3.033,3.352,2.117,2.34,2.938,2.325,0.404
1272,48.64,3.253,2.23,0.05,2.568,3.09,3.415,2.118,2.341,2.99,2.326,0.39
1272.5,48.68,3.108,2.227,0.05,2.568,2.953,3.264,2.116,2.339,2.864,2.323,0.425
1273,48.68,2.961,2.225,0.05,2.568,2.813,3.109,2.113,2.336,2.735,2.321,0.462
1273.5,48.71,2.823,2.222,0.05,2.568,2.682,2.964,2.111,2.333,2.613,2.318,0.496
1274,48.71,2.731,2.22,0.05,2.568,2.595,2.868,2.109,2.331,2.533,2.317,0.519
1274.5,48.74,2.715,2.22,0.05,2.568,2.579,2.851,2.109,2.331,2.518,2.316,0.523
1275,48.74,2.813,2.222,0.05,2.568,2.673,2.954,2.111,2.333,2.605,2.318,0.498
1275.5,48.78,2.808,2.222,0.05,2.568,2.668,2.949,2.111,2.333,2.601,2.318,0.5
1276,48.78,2.925,2.224,0.05,2.568,2.779,3.072,2.113,2.335,2.704,2.32,0.471
1276.5,48.81,2.64,2.218,0.05,2.568,2.508,2.772,2.107,2.329,2.452,2.315,0.542
1277,48.81,2.774,2.221,0.05,2.568,2.635,2.912,2.11,2.332,2.57,2.317,0.508
1277.5,48.85,2.921,2.224,0.05,2.568,2.775,3.067,2.113,2.335,2.7,2.32,0.472
1278,48.85,2.941,2.224,0.05,2.568,2.794,3.088,2.113,2.336,2.717,2.321,0.467
1278.5,48.89,3.197,2.229,0.05,2.568,3.038,3.357,2.117,2.34,2.942,2.325,0.403
1279,48.89,3.203,2.229,0.05,2.568,3.043,3.363,2.117,2.34,2.947,2.325,0.402
1279.5,48.92,3.107,2.227,0.05,2.568,2.952,3.262,2.116,2.339,2.863,2.323,0.426
1280,48.92,3.16,2.228,0.05,2.568,3.002,3.318,2.117,2.34,2.909,2.324,0.412
1280.5,48.96,3.143,2.228,0.05,2.568,2.986,3.3,2.116,2.339,2.894,2.324,0.417
1281,48.96,3.005,2.225,0.05,2.568,2.855,3.156,2.114,2.337,2.774,2.322,0.451
1281.5,48.99,3.035,2.226,0.05,2.568,2.883,3.187,2.115,2.337,2.8,2.322,0.443
1282,48.99,3.037,2.226,0.05,2.568,2.885,3.189,2.115,2.337,2.802,2.322,0.443
1282.5,49.03,3.198,2.229,0.05,2.568,3.038,3.358,2.117,2.34,2.942,2.325,0.403
1283,49.03,3.111,2.227,0.05,2.568,2.955,3.266,2.116,2.339,2.866,2.323,0.425
1283.5,49.07,3.017,2.226,0.05,2.568,2.866,3.168,2.114,2.337,2.784,2.322,0.448
1284,49.07,3.077,2.227,0.05,2.568,2.923,3.231,2.115,2.338,2.837,2.323,0.433
1284.5,49.11,3.247,2.229,0.05,2.568,3.084,3.409,2.118,2.341,2.985,2.326,0.391
1285,49.11,3.175,2.228,0.05,2.568,3.016,3.333,2.117,2.34,2.922,2.324,0.409
1285.5,49.14,2.952,2.225,0.05,2.568,2.805,3.1,2.113,2.336,2.727,2.321,0.464
1286,49.14,2.823,2.222,0.05,2.568,2.682,2.964,2.111,2.333,2.614,2.318,0.496
1286.5,49.17,2.825,2.222,0.05,2.568,2.684,2.966,2.111,2.333,2.615,2.318,0.496
1287,49.17,2.89,2.223,0.05,2.568,2.745,3.034,2.112,2.335,2.672,2.32,0.479
1287.5,49.22,2.859,2.223,0.05,2.568,2.716,3.002,2.112,2.334,2.645,2.319,0.487
1288,49.22,3.013,2.226,0.05,2.568,2.862,3.164,2.114,2.337,2.78,2.322,0.449
1288.5,49.25,3.127,2.228,0.05,2.568,2.971,3.284,2.116,2.339,2.881,2.324,0.421
1289,49.25,3.201,2.229,0.05,2.568,3.041,3.361,2.117,2.34,2.945,2.325,0.403
1289.5,49.3,3.106,2.227,0.05,2.568,2.951,3.261,2.116,2.339,2.862,2.323,0.426
1290,49.3,3.089,2.227,0.05,2.568,2.935,3.244,2.116,2.338,2.847,2.323,0.43
1290.5,49.34,3.189,2.229,0.05,2.568,3.03,3.348,2.117,2.34,2.934,2.325,0.405
1291,49.34,3.292,2.23,0.05,2.568,3.127,3.456,2.119,2.342,3.024,2.326,0.38
1291.5,49.38,3.424,2.232,0.05,2.568,3.253,3.595,2.12,2.344,3.14,2.328,0.347
1292,49.38,3.33,2.231,0.05,2.568,3.163,3.496,2.119,2.342,3.057,2.327,0.371
1292.5,49.42,3.21,2.229,0.05,2.568,3.05,3.371,2.117,2.34,2.953,2.325,0.4
1293,49.42,8.066,1.106,0.4,1.99,7.663,8.469,1.05,1.161,2.86,2.323,0.426
1293.5,49.46,7.069,1.098,0.4,1.99,6.716,7.423,1.044,1.153,2.643,2.319,0.488
1294,49.46,6.407,1.093,0.4,1.99,6.087,6.728,1.038,1.147,2.491,2.316,0.531
1294.5,49.5,6.585,1.094,0.4,1.99,6.255,6.914,1.04,1.149,2.532,2.317,0.519
1295,49.5,6.99,1.098,0.4,1.99,6.641,7.34,1.043,1.153,2.625,2.319,0.493
1295.5,49.54,7.397,1.101,0.4,1.99,7.027,7.767,1.046,1.156,2.716,2.321,0.467
1296,49.54,7.035,1.098,0.4,1.99,6.683,7.387,1.043,1.153,2.635,2.319,0.49
1296.5,49.59,6.698,1.095,0.4,1.99,6.363,7.033,1.041,1.15,2.559,2.317,0.512
1297,49.59,6.408,1.093,0.4,1.99,6.088,6.729,1.038,1.147,2.492,2.316,0.531
1297.5,49.64,6.334,1.092,0.4,1.99,6.017,6.65,1.037,1.147,2.474,2.315,0.536
1298,49.64,4.987,1.077,0.4,1.99,4.737,5.236,1.023,1.131,2.143,2.306,0.629
1298.5,49.68,4.851,1.075,0.4,1.99,4.608,5.093,1.021,1.129,2.108,2.305,0.639
1299,49.68,5.234,1.08,0.4,1.99,4.973,5.496,1.026,1.134,2.207,2.308,0.611
1299.5,49.74,5.575,1.084,0.4,1.99,5.296,5.854,1.03,1.138,2.292,2.311,0.587
1300,49.74,5.18,1.079,0.4,1.99,4.921,5.439,1.025,1.133,2.193,2.308,0.615
1300.5,49.77,4.646,1.072,0.4,1.99,4.414,4.878,1.018,1.126,2.054,2.303,0.654
1301,49.77,4.705,1.073,0.4,1.99,4.47,4.941,1.019,1.126,2.07,2.304,0.65
1301.5,49.82,4.779,1.074,0.4,1.99,4.54,5.018,1.02,1.128,2.089,2.304,0.644
1302,49.82,4.326,1.067,0.4,1.99,4.11,4.542,1.013,1.12,1.968,2.3,0.678
1302.5,49.86,4.427,1.068,0.4,1.99,4.206,4.648,1.015,1.122,1.996,2.301,0.671
1303,49.86,4.685,1.073,0.4,1.99,4.451,4.919,1.019,1.126,2.065,2.304,0.651
1303.5,49.9,5.379,1.082,0.4,1.99,5.11,5.648,1.028,1.136,2.243,2.309,0.601
1304,49.9,4.709,1.073,0.4,1.99,4.474,4.945,1.019,1.127,2.071,2.304,0.649
1304.5,49.95,4.457,1.069,0.4,1.99,4.234,4.68,1.015,1.122,2.004,2.301,0.668
1305,49.95,4.909,1.076,0.4,1.99,4.664,5.155,1.022,1.13,2.123,2.305,0.635
1305.5,49.99,4.08,1.062,0.4,1.99,3.876,4.284,1.009,1.115,1.9,2.297,0.698
1306,49.99,4.625,1.072,0.4,1.99,4.394,4.856,1.018,1.125,2.049,2.303,0.656
1306.5,50.03,4.169,1.064,0.4,1.99,3.961,4.377,1.011,1.117,1.925,2.298,0.691
1307,50.03,5.857,1.087,0.4,1.99,5.564,6.15,1.033,1.142,2.361,2.312,0.568
1307.5,50.1,7.351,1.101,0.4,1.99,6.983,7.719,1.046,1.156,2.705,2.32,0.47
1308,50.1,7.955,1.105,0.4,1.99,7.557,8.353,1.05,1.16,2.837,2.323,0.433
1308.5,50.14,8.2,1.106,0.4,1.99,7.79,8.61,1.051,1.162,2.889,2.324,0.418
1309,50.14,7.629,1.103,0.4,1.99,7.248,8.011,1.048,1.158,2.766,2.322,0.453
1309.5,50.17,6.936,1.097,0.4,1.99,6.589,7.283,1.043,1.152,2.613,2.318,0.496
1310,50.17,4.989,1.077,0.4,1.99,4.739,5.238,1.023,1.131,2.144,2.306,0.629
1310.5,50.23,3.833,1.057,0.4,1.99,3.641,4.024,1.005,1.11,1.83,2.294,0.717
1311,50.23,3.959,1.06,0.4,1.99,3.761,4.156,1.007,1.113,1.866,2.296,0.707
1311.5,50.27,4.234,1.065,0.4,1.99,4.023,4.446,1.012,1.118,1.943,2.299,0.686
1312,50.27,4.084,1.062,0.4,1.99,3.88,4.288,1.009,1.116,1.901,2.297,0.697
1312.5,50.32,3.702,1.055,0.4,1.99,3.517,3.887,1.002,1.107,1.792,2.293,0.728
1313,50.32,3.314,1.046,0.4,1.99,3.148,3.48,0.993,1.098,1.677,2.287,0.761
1313.5,50.37,3.109,1.04,0.4,1.99,2.953,3.264,0.988,1.092,1.614,2.284,0.779
1314,50.37,3.235,1.043,0.4,1.99,3.073,3.397,0.991,1.096,1.653,2.286,0.767
1314.5,50.4,4.25,1.065,0.4,1.99,4.037,4.462,1.012,1.119,1.947,2.299,0.684
1315,50.4,4.702,1.073,0.4,1.99,4.467,4.938,1.019,1.126,2.069,2.304,0.65
1315.5,50.44,4.224,1.065,0.4,1.99,4.013,4.435,1.012,1.118,1.94,2.299,0.686
1316,50.44,4.251,1.065,0.4,1.99,4.038,4.463,1.012,1.119,1.948,2.299,0.684
1316.5,50.48,3.673,1.054,0.4,1.99,3.489,3.856,1.001,1.107,1.784,2.292,0.731
1317,50.48,3.867,1.058,0.4,1.99,3.674,4.061,1.005,1.111,1.84,2.295,0.715
1317.5,50.53,3.619,1.053,0.4,1.99,3.438,3.8,1,1.106,1.768,2.292,0.735
1318,50.53,3.227,1.043,0.4,1.99,3.066,3.388,0.991,1.095,1.651,2.286,0.768
1318.5,50.57,3.884,1.059,0.4,1.99,3.69,4.078,1.006,1.111,1.845,2.295,0.713
1319,50.57,3.546,1.051,0.4,1.99,3.369,3.724,0.999,1.104,1.747,2.291,0.741
1319.5,50.63,3.068,1.039,0.4,1.99,2.915,3.221,0.987,1.091,1.602,2.283,0.782
1320,50.63,2.399,1.015,0.4,1.99,2.279,2.519,0.964,1.066,1.382,2.269,0.844
1320.5,50.68,1.864,0.987,0.4,1.99,1.771,1.957,0.938,1.037,1.188,2.252,0.899
1321,50.68,2.723,1.028,0.4,1.99,2.587,2.86,0.976,1.079,1.491,2.277,0.813
1321.5,50.72,3.104,1.04,0.4,1.99,2.949,3.259,0.988,1.092,1.613,2.284,0.779
1322,50.72,3.443,1.049,0.4,1.99,3.271,3.615,0.996,1.101,1.716,2.289,0.75
1322.5,50.75,3.127,1.04,0.4,1.99,2.971,3.284,0.988,1.092,1.62,2.284,0.777
1323,50.75,2.516,1.02,0.4,1.99,2.391,2.642,0.969,1.071,1.422,2.272,0.833
1323.5,50.8,1.964,0.993,0.4,1.99,1.866,2.062,0.944,1.043,1.225,2.256,0.888
1324,50.8,2.461,1.018,0.4,1.99,2.338,2.584,0.967,1.069,1.403,2.271,0.838
1324.5,50.85,3.349,1.046,0.4,1.99,3.182,3.517,0.994,1.099,1.688,2.288,0.758
1325,50.85,3.158,1.041,0.4,1.99,3.001,3.316,0.989,1.093,1.63,2.285,0.774
1325.5,50.9,3.028,1.038,0.4,1.99,2.877,3.18,0.986,1.089,1.589,2.283,0.786
1326,50.9,3.282,1.045,0.4,1.99,3.118,3.447,0.992,1.097,1.668,2.287,0.763
1326.5,50.92,3.232,1.043,0.4,1.99,3.07,3.393,0.991,1.096,1.652,2.286,0.768
1327,50.92,3.035,1.038,0.4,1.99,2.883,3.187,0.986,1.09,1.591,2.283,0.785
1327.5,50.98,3.422,1.048,0.4,1.99,3.251,3.593,0.996,1.101,1.71,2.289,0.751
1328,50.98,3.264,1.044,0.4,1.99,3.101,3.427,0.992,1.096,1.662,2.287,0.765
1328.5,51.03,3.109,1.04,0.4,1.99,2.954,3.265,0.988,1.092,1.614,2.284,0.778
1329,51.03,3.331,1.046,0.4,1.99,3.164,3.497,0.994,1.098,1.683,2.288,0.759
1329.5,51.08,2.989,1.036,0.4,1.99,2.839,3.138,0.985,1.088,1.577,2.282,0.789
1330,51.08,2.661,1.025,0.4,1.99,2.528,2.794,0.974,1.077,1.47,2.275,0.819
1330.5,51.11,3.034,1.038,0.4,1.99,2.882,3.186,0.986,1.09,1.591,2.283,0.785
1331,51.11,3.092,1.039,0.4,1.99,2.937,3.246,0.987,1.091,1.609,2.284,0.78
1331.5,51.15,3.297,1.045,0.4,1.99,3.133,3.462,0.993,1.097,1.672,2.287,0.762
1332,51.15,3.441,1.049,0.4,1.99,3.269,3.614,0.996,1.101,1.716,2.289,0.75
1332.5,51.19,3.494,1.05,0.4,1.99,3.32,3.669,0.997,1.102,1.732,2.29,0.745
1333,51.19,4.473,1.069,0.4,1.99,4.249,4.697,1.016,1.123,2.008,2.302,0.667
1333.5,51.24,4.72,1.073,0.4,1.99,4.484,4.956,1.019,1.127,2.074,2.304,0.649
1334,51.24,4.434,1.069,0.4,1.99,4.213,4.656,1.015,1.122,1.998,2.301,0.67
1334.5,51.28,4.34,1.067,0.4,1.99,4.123,4.557,1.014,1.12,1.972,2.3,0.677
1335,51.28,4.766,1.074,0.4,1.99,4.528,5.004,1.02,1.127,2.086,2.304,0.645
1335.5,51.32,5.172,1.079,0.4,1.99,4.914,5.431,1.025,1.133,2.191,2.308,0.616
1336,51.32,4.572,1.071,0.4,1.99,4.344,4.801,1.017,1.124,2.035,2.302,0.66
1336.5,51.37,4.002,1.061,0.4,1.99,3.802,4.202,1.008,1.114,1.878,2.297,0.704
1337,51.37,3.809,1.057,0.4,1.99,3.618,3.999,1.004,1.11,1.823,2.294,0.719
1337.5,51.4,3.869,1.058,0.4,1.99,3.676,4.063,1.005,1.111,1.841,2.295,0.715
1338,51.4,3.466,1.049,0.4,1.99,3.293,3.639,0.997,1.102,1.723,2.29,0.748
1338.5,51.43,3.061,1.039,0.4,1.99,2.908,3.215,0.987,1.09,1.599,2.283,0.783
1339,51.43,3.158,1.041,0.4,1.99,3.001,3.316,0.989,1.093,1.63,2.285,0.774
1339.5,51.49,3.343,1.046,0.4,1.99,3.176,3.51,0.994,1.099,1.686,2.288,0.758
1340,51.49,3.363,1.047,0.4,1.99,3.195,3.531,0.994,1.099,1.692,2.288,0.756
1340.5,51.52,4.063,1.062,0.4,1.99,3.86,4.266,1.009,1.115,1.896,2.297,0.699
1341,51.52,4.353,1.067,0.4,1.99,4.135,4.571,1.014,1.121,1.976,2.3,0.676
1341.5,51.54,4.192,1.064,0.4,1.99,3.982,4.402,1.011,1.118,1.931,2.299,0.689
1342,51.54,3.172,1.042,0.4,1.99,3.013,3.33,0.99,1.094,1.634,2.285,0.773
1342.5,51.58,2.157,1.004,0.4,1.99,2.049,2.265,0.954,1.054,1.296,2.262,0.868
1343,51.58,2.516,1.02,0.4,1.99,2.391,2.642,0.969,1.071,1.422,2.272,0.833
1343.5,51.62,2.253,1.009,0.4,1.99,2.14,2.365,0.958,1.059,1.331,2.265,0.859
1344,51.62,2.376,1.014,0.4,1.99,2.258,2.495,0.963,1.065,1.374,2.269,0.846
1344.5,51.65,3.136,1.041,0.4,1.99,2.979,3.292,0.989,1.093,1.623,2.284,0.776
1345,51.65,3.508,1.05,0.4,1.99,3.332,3.683,0.998,1.103,1.736,2.29,0.744
1345.5,51.68,4.09,1.063,0.4,1.99,3.886,4.295,1.009,1.116,1.903,2.298,0.697
