%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
64,9.74,3.062,2.288,0.02,2.617,2.603,3.521,1.945,2.631,2.964,2.325,0.247
64.5,9.75,3.101,2.289,0.02,2.617,2.636,3.566,1.945,2.632,3.001,2.326,0.228
65,9.75,3.14,2.289,0.02,2.617,2.669,3.611,1.946,2.633,3.038,2.326,0.209
65.5,9.76,3.179,2.29,0.02,2.617,2.702,3.656,1.946,2.633,3.075,2.327,0.191
66,9.76,3.218,2.29,0.02,2.617,2.736,3.701,1.947,2.634,3.112,2.328,0.172
66.5,9.77,3.257,2.291,0.02,2.617,2.769,3.746,1.947,2.635,3.149,2.328,0.153
67,9.77,3.297,2.292,0.02,2.617,2.802,3.791,1.948,2.635,3.187,2.329,0.135
67.5,9.78,3.336,2.292,0.02,2.617,2.835,3.836,1.948,2.636,3.224,2.329,0.116
68,9.78,3.375,2.293,0.02,2.617,2.869,3.881,1.949,2.636,3.261,2.33,0.098
68.5,9.8,3.348,2.292,0.02,2.617,2.846,3.851,1.948,2.636,3.236,2.329,0.11
69,9.8,3.317,2.292,0.02,2.617,2.82,3.815,1.948,2.636,3.206,2.329,0.125
69.5,9.82,3.287,2.291,0.02,2.617,2.794,3.78,1.948,2.635,3.177,2.329,0.14
70,9.82,3.338,2.292,0.02,2.617,2.838,3.839,1.948,2.636,3.226,2.329,0.115
70.5,9.83,3.431,2.293,0.02,2.617,2.916,3.945,1.949,2.637,3.314,2.33,0.071
71,9.83,3.523,2.295,0.02,2.617,2.995,4.052,1.95,2.639,3.401,2.332,0.027
71.5,9.85,3.616,2.296,0.02,2.617,3.073,4.158,1.951,2.64,3.489,2.333,-0.017
72,9.85,3.891,2.238,0.05,2.568,3.307,4.474,1.902,2.573,3.545,2.333,-0.045
72.5,9.87,3.856,2.237,0.05,2.568,3.278,4.435,1.902,2.573,3.515,2.333,-0.03
73,9.87,3.822,2.237,0.05,2.568,3.249,4.395,1.901,2.573,3.485,2.333,-0.015
73.5,9.89,3.9,2.238,0.05,2.568,3.315,4.485,1.902,2.574,3.553,2.334,-0.049
74,9.89,3.848,2.237,0.05,2.568,3.271,4.425,1.902,2.573,3.508,2.333,-0.027
74.5,9.91,3.844,2.237,0.05,2.568,3.267,4.42,1.902,2.573,3.504,2.333,-0.025
75,9.91,3.898,2.238,0.05,2.568,3.314,4.483,1.902,2.574,3.551,2.333,-0.049
75.5,9.94,3.953,2.238,0.05,2.568,3.36,4.546,1.903,2.574,3.599,2.334,-0.072
76,9.94,3.99,2.239,0.05,2.568,3.391,4.588,1.903,2.575,3.63,2.334,-0.088
76.5,9.96,3.955,2.238,0.05,2.568,3.362,4.548,1.903,2.574,3.6,2.334,-0.073
77,9.96,3.92,2.238,0.05,2.568,3.332,4.508,1.902,2.574,3.57,2.334,-0.058
77.5,9.99,3.885,2.238,0.05,2.568,3.302,4.468,1.902,2.573,3.54,2.333,-0.043
78,9.99,3.85,2.237,0.05,2.568,3.273,4.428,1.902,2.573,3.51,2.333,-0.027
78.5,10.02,3.815,2.237,0.05,2.568,3.243,4.388,1.901,2.573,3.479,2.333,-0.012
79,10.02,3.852,2.237,0.05,2.568,3.275,4.43,1.902,2.573,3.512,2.333,-0.029
79.5,10.05,3.923,2.238,0.05,2.568,3.335,4.511,1.902,2.574,3.573,2.334,-0.059
80,10.05,3.886,2.238,0.05,2.568,3.303,4.468,1.902,2.573,3.54,2.333,-0.043
80.5,10.08,3.848,2.237,0.05,2.568,3.271,4.426,1.902,2.573,3.508,2.333,-0.027
81,10.08,3.899,2.238,0.05,2.568,3.314,4.484,1.902,2.574,3.552,2.333,-0.049
81.5,10.1,3.912,2.238,0.05,2.568,3.325,4.499,1.902,2.574,3.563,2.334,-0.055
82,10.1,3.849,2.237,0.05,2.568,3.272,4.427,1.902,2.573,3.509,2.333,-0.027
82.5,10.13,3.786,2.237,0.05,2.568,3.218,4.354,1.901,2.572,3.454,2.332,0
83,10.13,3.724,2.236,0.05,2.568,3.165,4.282,1.901,2.571,3.4,2.332,0.028
83.5,10.16,3.812,2.237,0.05,2.568,3.24,4.384,1.901,2.572,3.477,2.333,-0.011
84,10.16,3.906,2.238,0.05,2.568,3.32,4.492,1.902,2.574,3.558,2.334,-0.052
84.5,10.19,3.931,2.238,0.05,2.568,3.342,4.521,1.902,2.574,3.58,2.334,-0.063
85,10.19,3.956,2.238,0.05,2.568,3.363,4.55,1.903,2.574,3.602,2.334,-0.074
85.5,10.21,3.932,2.238,0.05,2.568,3.342,4.522,1.903,2.574,3.581,2.334,-0.063
86,10.21,3.882,2.238,0.05,2.568,3.3,4.465,1.902,2.573,3.538,2.333,-0.042
86.5,10.24,3.833,2.237,0.05,2.568,3.258,4.408,1.902,2.573,3.495,2.333,-0.02
87,10.24,3.783,2.237,0.05,2.568,3.216,4.35,1.901,2.572,3.451,2.332,0.002
87.5,10.27,3.733,2.236,0.05,2.568,3.173,4.293,1.901,2.571,3.408,2.332,0.023
88,10.27,3.821,2.237,0.05,2.568,3.248,4.394,1.901,2.573,3.484,2.333,-0.015
88.5,10.3,3.914,2.238,0.05,2.568,3.327,4.502,1.902,2.574,3.565,2.334,-0.055
89,10.3,3.898,2.238,0.05,2.568,3.313,4.483,1.902,2.574,3.551,2.333,-0.048
89.5,10.32,3.868,2.238,0.05,2.568,3.288,4.448,1.902,2.573,3.525,2.333,-0.035
90,10.32,3.907,2.238,0.05,2.568,3.321,4.492,1.902,2.574,3.558,2.334,-0.052
90.5,10.36,3.957,2.239,0.05,2.568,3.363,4.551,1.903,2.574,3.602,2.334,-0.074
