%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,    TC.log,      RHOC.log,       RHP,,
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),    W/(mK),   kJ/(m³K),     µW/m³,,
115.5,,3.471,2.156,0.276,2.239,2.951,3.992,1.832,2.479,2.144,2.705,0.437016,,
116,,3.588,2.152,0.276,2.239,3.050,4.126,1.829,2.475,2.196,2.702,0.479558,,
116.5,,3.114,2.156,0.276,2.239,2.647,3.582,1.832,2.479,1.982,2.705,0.479558,,
117,,3.130,2.162,0.276,2.239,2.660,3.599,1.838,2.487,1.989,2.710,0.463609,,
117.5,,3.329,2.174,0.276,2.239,2.830,3.828,1.848,2.500,2.080,2.719,0.463609,,
118,,3.141,2.177,0.276,2.239,2.669,3.612,1.851,2.504,1.994,2.721,0.41309,,
118.5,,3.223,2.173,0.276,2.239,2.740,3.707,1.847,2.499,2.032,2.718,0.447659,,
119,,3.351,2.217,0.276,2.239,2.848,3.854,1.885,2.550,2.090,2.750,0.471583,,
119.5,,3.527,2.258,0.276,2.239,2.998,4.056,1.919,2.596,2.169,2.779,0.421066,,
120,,3.042,2.346,0.256,2.273,2.586,3.498,1.994,2.698,2.012,2.807,0.405115,,
120.5,,3.158,2.388,0.256,2.273,2.684,3.632,2.030,2.746,2.069,2.839,0.421066,,
121,,3.537,2.422,0.256,2.273,3.006,4.068,2.059,2.786,2.251,2.864,0.431709,,
121.5,,3.156,2.453,0.256,2.273,2.683,3.630,2.085,2.822,2.068,2.887,0.405115,,
122,,3.109,2.480,0.256,2.273,2.643,3.575,2.108,2.853,2.045,2.907,0.431709,,
122.5,,3.113,2.520,0.256,2.273,2.646,3.580,2.142,2.898,2.047,2.937,0.421066,,
123,,3.328,2.559,0.256,2.273,2.828,3.827,2.175,2.942,2.151,2.966,0.405115,,
123.5,,3.522,2.587,0.256,2.273,2.994,4.051,2.199,2.975,2.244,2.987,0.378522,,
124,,3.575,2.630,0.256,2.273,3.039,4.111,2.235,3.024,2.269,3.019,0.394473,,
124.5,,3.380,2.655,0.256,2.273,2.873,3.887,2.257,3.053,2.176,3.037,0.378522,,
125,,3.216,2.677,0.256,2.273,2.733,3.698,2.276,3.079,2.097,3.054,0.373201,,
125.5,,3.109,2.691,0.256,2.273,2.643,3.575,2.287,3.094,2.045,3.064,0.362572,,
126,,3.357,2.696,0.256,2.273,2.853,3.860,2.291,3.100,2.165,3.067,0.362572,,
126.5,,3.234,2.711,0.256,2.273,2.749,3.719,2.304,3.117,2.106,3.079,0.357251,,
127,,3.799,2.679,0.283,2.226,3.229,4.369,2.277,3.080,2.258,3.095,0.362572,,
127.5,,3.259,2.704,0.283,2.226,2.770,3.748,2.299,3.110,2.023,3.113,0.354598,,
128,,3.523,2.739,0.283,2.226,2.994,4.051,2.328,3.149,2.139,3.138,0.343955,,
128.5,,3.275,2.768,0.283,2.226,2.784,3.766,2.353,3.183,2.030,3.159,0.335979,,
129,,4.062,2.678,0.335,2.137,3.453,4.672,2.276,3.079,2.146,3.171,0.282808,,
129.5,9.657,3.271,2.704,0.335,2.137,2.780,3.762,2.299,3.110,1.858,3.188,0.30408,,
