%     Depth;Temperature_;TC_m;RHOC_m;PHI;    RHOB;TC_m_min;TC_m_max;RHOC_m_miD;RHOC_m_max;    TC.log;      RHOC.log;       RHP;;
%         m;          °C;W/(mK);kJ/(m³K);n/n;g/cm³;    W/(mK);    W/(mK);kJ/(m³K);kJ/(m³K);    W/(mK);   kJ/(m³K);     µW/m³;;
97;;3.391;1.692;0.240;2.299;2.882;3.900;1.438;1.946;2.207;2.251;0.366114381;;
97.5;;3.375;1.702;0.244;2.292;2.869;3.881;1.446;1.957;2.135;2.262;0.365988048;;
98;;3.373;1.712;0.247;2.287;2.867;3.879;1.455;1.969;2.168;2.277;0.366748286;;
98.5;;3.375;1.724;0.250;2.282;2.868;3.881;1.465;1.983;2.106;2.291;0.366748286;;
99;;3.362;1.737;0.253;2.277;2.858;3.867;1.477;1.998;2.069;2.307;0.368394381;;
99.5;;3.346;1.752;0.254;2.275;2.844;3.848;1.489;2.015;2.178;2.320;0.368141667;;
100;;3.354;1.768;0.255;2.274;2.851;3.857;1.503;2.033;2.031;2.341;0.36864781;;
100.5;;3.345;1.785;0.256;2.272;2.843;3.847;1.518;2.053;2.057;2.362;0.368901238;;
101;;3.349;1.804;0.257;2.270;2.847;3.852;1.534;2.075;2.089;2.387;0.368521524;;
101.5;;3.328;1.824;0.257;2.270;2.829;3.827;1.550;2.098;2.008;2.416;0.368268143;;
102;;3.338;1.845;0.257;2.271;2.838;3.839;1.568;2.122;2.208;2.433;0.367762;;
102.5;;3.341;1.867;0.256;2.272;2.840;3.842;1.587;2.146;2.002;2.454;0.367635667;;
103;;3.360;1.889;0.257;2.271;2.856;3.864;1.606;2.172;2.178;2.476;0.369788619;;
103.5;;3.360;1.912;0.257;2.270;2.856;3.863;1.625;2.199;2.292;2.493;0.370421762;;
104;;3.362;1.935;0.258;2.269;2.857;3.866;1.645;2.226;2.094;2.513;0.370548095;;
104.5;;3.371;1.958;0.258;2.269;2.865;3.876;1.664;2.252;2.170;2.529;0.371054238;;
105;;3.353;1.980;0.258;2.269;2.850;3.855;1.683;2.277;2.316;2.548;0.372700333;;
105.5;;3.355;2.001;0.258;2.269;2.852;3.859;1.701;2.302;2.201;2.576;0.374979619;;
